BAIRRO,CIDADE,ESTADO,MODO,DISTANCIA_KM,DURACAO,SAIDA_PARA_18H
barra da tijuca,rio de janeiro,RJ,transit,27.39,1 hora 14 minutos,16:46
huimaita,rio de janeiro,RJ,transit,6.07,30 minutos,17:30
itaipu,niterói,RJ,transit,26.92,1 hora 27 minutos,16:32
laranjeiras,rio de janeiro,RJ,transit,4.52,32 minutos,17:28
pilares,rio de janeiro,RJ,transit,22.67,1 hora 9 minutos,16:51
botafogo,rio de janeiro,RJ,transit,2.54,25 minutos,17:35
copacabana,rio de janeiro,RJ,transit,3.96,25 minutos,17:34
cachambi,rio de janeiro,RJ,transit,19.68,1 hora 3 minutos,16:57
benfica,rio de janeiro,RJ,transit,14.74,1 hora 1 minuto,16:58
todos os santos,rio de janeiro,RJ,transit,21.99,1 hora 15 minutos,16:45
galeao,rio de janeiro,RJ,transit,26.75,1 hora 32 minutos,16:27
rio comprido,rio de janeiro,RJ,transit,9.03,39 minutos,17:20
tijuca,rio de janeiro,RJ,transit,13.44,50 minutos,17:09
urca,rio de janeiro,RJ,transit,0.0,0 min,18:00
cosmorama,mesquita,RJ,transit,51.72,1 hora 46 minutos,16:13
pechincha,rio de janeiro,RJ,transit,31.96,1 hora 27 minutos,16:33
lins de vasconcelos,rio de janeiro,RJ,transit,21.75,1 hora 15 minutos,16:45
vila itamarati,rio de janeiro,RJ,transit,11.54,46 minutos,17:14
vila isabel,rio de janeiro,RJ,transit,17.06,56 minutos,17:03
pedra de guaratiba,rio de janeiro,RJ,transit,55.1,2 horas 17 minutos,15:42
pavuna,rio de janeiro,RJ,transit,45.3,1 hora 23 minutos,16:36
recreio dos bandeirantes,rio de janeiro,RJ,transit,38.02,1 hora 25 minutos,16:34
encantado,rio de janeiro,RJ,transit,24.36,1 hora 9 minutos,16:50
freguesia,rio de janeiro,RJ,transit,30.24,1 hora 23 minutos,16:36
engenho da rainha,rio de janeiro,RJ,transit,26.82,1 hora 13 minutos,16:46
vila da penha,rio de janeiro,RJ,transit,30.27,1 hora 33 minutos,16:27
curicica,rio de janeiro,RJ,transit,39.87,1 hora 49 minutos,16:11
vila guanabara,rio de janeiro,RJ,transit,36.88,1 hora 29 minutos,16:31
bento ribeiro,rio de janeiro,RJ,transit,34.52,1 hora 28 minutos,16:32
marechal hermes,rio de janeiro,RJ,transit,27.71,1 hora 26 minutos,16:34
bangu,rio de janeiro,RJ,transit,53.6,1 hora 56 minutos,16:03
meier,rio de janeiro,RJ,transit,17.86,57 minutos,17:02
vila nova,nova iguaçu,RJ,transit,49.14,1 hora 23 minutos,16:37
engenho novo,rio de janeiro,RJ,transit,16.39,1 hora 0 minutos,17:00
jardim jurema,sao joao de meriti,RJ,transit,45.49,1 hora 40 minutos,16:20
colégio,rio de janeiro,RJ,transit,40.89,1 hora 15 minutos,16:44
inhaúma,rio de janeiro,RJ,transit,25.05,1 hora 12 minutos,16:48
realengo,rio de janeiro,RJ,transit,35.61,1 hora 36 minutos,16:24
jacarepagua,rio de janeiro,RJ,transit,34.58,1 hora 37 minutos,16:23
flamengo,rio de janeiro,RJ,transit,4.64,21 minutos,17:39
anchieta,rio de janeiro,RJ,transit,38.3,1 hora 41 minutos,16:18
alto da boa vista,rio de janeiro,RJ,transit,32.13,1 hora 14 minutos,16:45
barreto,niterói,RJ,transit,33.72,1 hora 8 minutos,16:52
vila sao luis,duque de caxias,RJ,transit,39.68,1 hora 48 minutos,16:11
mare,rio de janeiro,RJ,transit,24.14,1 hora 4 minutos,16:56
ipanema,rio de janeiro,RJ,transit,6.24,28 minutos,17:31
rocha,rio de janeiro,RJ,transit,16.21,1 hora 6 minutos,16:53
andaraí,rio de janeiro,RJ,transit,16.59,1 hora 3 minutos,16:56
varzea,teresopolis,RJ,transit,112.89,2 horas 52 minutos,15:07
itanhanga,rio de janeiro,RJ,transit,26.02,1 hora 12 minutos,16:48
praca da ponte,rio de janeiro,RJ,transit,53.31,1 hora 57 minutos,16:03
bonsucesso,rio de janeiro,RJ,transit,22.2,1 hora 3 minutos,16:56
vila kosmos,rio de janeiro,RJ,transit,25.26,1 hora 19 minutos,16:41
maracanã,rio de janeiro,RJ,transit,10.94,43 minutos,17:17
centro,rio de janeiro,RJ,transit,8.78,34 minutos,17:25
rocha miranda,rio de janeiro,RJ,transit,40.85,1 hora 25 minutos,16:34
